,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29
Bhargavaea_cecembensis_DSE10_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,995.630355,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,8997.421247,3014.44718,23892.84113,2576.003024,2.22E-16,2.22E-16,307.9955758,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,206.3006516,2.22E-16,483.0231954,40.83976346,2.22E-16
Bifidobacterium_actinocoloniiforme_DSM_22766_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,3046.829915,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,92.74092087,2.22E-16,2.22E-16,2.22E-16,2.22E-16,7.064157579,2.22E-16
Bifidobacterium_adolescentis_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,16.88379467,2.22E-16,2.22E-16,2.22E-16,1063.685858,2.22E-16,1116.01997,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,194.9845957,2.22E-16,2.22E-16,2.22E-16,2.22E-16,8.74561206,2.22E-16
Bifidobacterium_angulatum_DSM_20098_=_JCM_7096_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2157.614325,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,184.5843972,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,61.33040991,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Bifidobacterium_animalis_subsp_lactis_BB-12_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,66.53973974,74.84163728,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,186.355646,2.22E-16,2.22E-16,2.22E-16,2.22E-16,43.75479773,2.22E-16
Bifidobacterium_asteroides_PRL2011_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,227.1485649,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,389.3228783,2.22E-16,2.22E-16,2.22E-16,2.22E-16,50.96624786,2.22E-16
Bifidobacterium_biavatii_DSM_23969_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,91.4915475,2.22E-16,2.22E-16,2.22E-16,2.22E-16,19.67762178,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,265.2308157,2.22E-16,2.22E-16,2.22E-16,908.6139378,5.116048056,2.22E-16
Bifidobacterium_bifidum_NCIMB_41171_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,6190.737238,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,23.6172671,2.22E-16,277.2267264,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Bifidobacterium_bifidum_PRL2010_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,176.5472643,2.22E-16,2.22E-16,2.22E-16,155.1645541,2.22E-16,1180.330515,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,154.4638444,2.22E-16,2.22E-16,2.22E-16,2.22E-16,43.63179076,2.22E-16
Bifidobacterium_bohemicum_DSM_22767_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,3039.372475,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,108.3668476,2.22E-16,2.22E-16,2.22E-16,2.22E-16,22.55571962,2.22E-16
